Type Name,Type Description,Attribute Name,Attribute Description
ADLS,Base class for Azure Data Lake Storage (ADLS) assets.,adlsAccountQualifiedName,Unique name of the account for this ADLS asset.
ADLSAccount,Instance of an Azure Data Lake Storage (ADLS) account in Atlan.,adlsETag,"Entity tag for the asset. An entity tag is a hash of the object and represents changes to the contents of an object only, not its metadata."
ADLSAccount,Instance of an Azure Data Lake Storage (ADLS) account in Atlan.,adlsEncryptionType,TBC
ADLSAccount,Instance of an Azure Data Lake Storage (ADLS) account in Atlan.,adlsAccountResourceGroup,TBC
ADLSAccount,Instance of an Azure Data Lake Storage (ADLS) account in Atlan.,adlsAccountSubscription,TBC
ADLSAccount,Instance of an Azure Data Lake Storage (ADLS) account in Atlan.,adlsAccountPerformance,TBC
ADLSAccount,Instance of an Azure Data Lake Storage (ADLS) account in Atlan.,adlsAccountReplication,TBC
ADLSAccount,Instance of an Azure Data Lake Storage (ADLS) account in Atlan.,adlsAccountKind,TBC
ADLSAccount,Instance of an Azure Data Lake Storage (ADLS) account in Atlan.,adlsPrimaryDiskState,TBC
ADLSAccount,Instance of an Azure Data Lake Storage (ADLS) account in Atlan.,adlsAccountProvisionState,TBC
ADLSAccount,Instance of an Azure Data Lake Storage (ADLS) account in Atlan.,adlsAccountAccessTier,TBC
ADLSAccount,Instance of an Azure Data Lake Storage (ADLS) account in Atlan.,adlsContainers,Containers that exist within this account.
ADLSContainer,Instance of an Azure Data Lake Storage (ADLS) container in Atlan.,adlsContainerUrl,TBC
ADLSContainer,Instance of an Azure Data Lake Storage (ADLS) container in Atlan.,adlsContainerLeaseState,TBC
ADLSContainer,Instance of an Azure Data Lake Storage (ADLS) container in Atlan.,adlsContainerLeaseStatus,TBC
ADLSContainer,Instance of an Azure Data Lake Storage (ADLS) container in Atlan.,adlsContainerEncryptionScope,TBC
ADLSContainer,Instance of an Azure Data Lake Storage (ADLS) container in Atlan.,adlsContainerVersionLevelImmutabilitySupport,TBC
ADLSContainer,Instance of an Azure Data Lake Storage (ADLS) container in Atlan.,adlsObjectCount,Number of objects that exist within this container.
ADLSContainer,Instance of an Azure Data Lake Storage (ADLS) container in Atlan.,adlsObjects,Objects that exist within this container.
ADLSContainer,Instance of an Azure Data Lake Storage (ADLS) container in Atlan.,adlsAccount,Account this container exists within.
ADLSObject,Instance of an Azure Data Lake Storage (ADLS) blob / object in Atlan.,adlsObjectUrl,TBC
ADLSObject,Instance of an Azure Data Lake Storage (ADLS) blob / object in Atlan.,adlsObjectVersionId,TBC
ADLSObject,Instance of an Azure Data Lake Storage (ADLS) blob / object in Atlan.,adlsObjectType,TBC
ADLSObject,Instance of an Azure Data Lake Storage (ADLS) blob / object in Atlan.,adlsObjectSize,TBC
ADLSObject,Instance of an Azure Data Lake Storage (ADLS) blob / object in Atlan.,adlsObjectAccessTier,TBC
ADLSObject,Instance of an Azure Data Lake Storage (ADLS) blob / object in Atlan.,adlsObjectAccessTierLastModifiedTime,TBC
ADLSObject,Instance of an Azure Data Lake Storage (ADLS) blob / object in Atlan.,adlsObjectArchiveStatus,TBC
ADLSObject,Instance of an Azure Data Lake Storage (ADLS) blob / object in Atlan.,adlsObjectServerEncrypted,TBC
ADLSObject,Instance of an Azure Data Lake Storage (ADLS) blob / object in Atlan.,adlsObjectVersionLevelImmutabilitySupport,TBC
ADLSObject,Instance of an Azure Data Lake Storage (ADLS) blob / object in Atlan.,adlsObjectCacheControl,TBC
ADLSObject,Instance of an Azure Data Lake Storage (ADLS) blob / object in Atlan.,adlsObjectContentType,TBC
ADLSObject,Instance of an Azure Data Lake Storage (ADLS) blob / object in Atlan.,adlsObjectContentMD5Hash,TBC
ADLSObject,Instance of an Azure Data Lake Storage (ADLS) blob / object in Atlan.,adlsObjectContentLanguage,TBC
ADLSObject,Instance of an Azure Data Lake Storage (ADLS) blob / object in Atlan.,adlsObjectLeaseStatus,TBC
ADLSObject,Instance of an Azure Data Lake Storage (ADLS) blob / object in Atlan.,adlsObjectLeaseState,TBC
ADLSObject,Instance of an Azure Data Lake Storage (ADLS) blob / object in Atlan.,adlsObjectMetadata,TBC
ADLSObject,Instance of an Azure Data Lake Storage (ADLS) blob / object in Atlan.,adlsContainerQualifiedName,Unique name of the container this object exists within.
ADLSObject,Instance of an Azure Data Lake Storage (ADLS) blob / object in Atlan.,adlsContainer,Container this object exists within.
API,Base class for API assets.,apiSpecType,TBC
API,Base class for API assets.,apiSpecVersion,TBC
API,Base class for API assets.,apiSpecName,TBC
API,Base class for API assets.,apiSpecQualifiedName,TBC
API,Base class for API assets.,apiExternalDocs,TBC
API,Base class for API assets.,apiIsAuthOptional,TBC
APIPath,Instance of an API path that could contain one or more endpoints in Atlan.,apiPathSummary,TBC
APIPath,Instance of an API path that could contain one or more endpoints in Atlan.,apiPathRawURI,TBC
APIPath,Instance of an API path that could contain one or more endpoints in Atlan.,apiPathIsTemplated,TBC
APIPath,Instance of an API path that could contain one or more endpoints in Atlan.,apiPathAvailableOperations,TBC
APIPath,Instance of an API path that could contain one or more endpoints in Atlan.,apiPathAvailableResponseCodes,TBC
APIPath,Instance of an API path that could contain one or more endpoints in Atlan.,apiPathIsIngressExposed,TBC
APIPath,Instance of an API path that could contain one or more endpoints in Atlan.,apiSpec,TBC
APISpec,Instance of an API specification in Atlan.,apiSpecTermsOfServiceURL,TBC
APISpec,Instance of an API specification in Atlan.,apiSpecContactEmail,TBC
APISpec,Instance of an API specification in Atlan.,apiSpecContactName,TBC
APISpec,Instance of an API specification in Atlan.,apiSpecContactURL,TBC
APISpec,Instance of an API specification in Atlan.,apiSpecLicenseName,TBC
APISpec,Instance of an API specification in Atlan.,apiSpecLicenseURL,TBC
APISpec,Instance of an API specification in Atlan.,apiSpecContractVersion,TBC
APISpec,Instance of an API specification in Atlan.,apiSpecServiceAlias,TBC
APISpec,Instance of an API specification in Atlan.,apiPaths,TBC
